E (862) lcd_panel: esp_lcd_panel_swap_xy(50): swap_xy is not supported by this panel
I (878) Backlight: Set brightness to 75
I (878) Application: STATE: starting
I (879) SD_TEST: Initializing SD card via SDMMC...
W (880) ldo: The voltage value 0 is out of the recommended range [500, 2700]
I (888) Es8311AudioCodec: Duplex channels created
I (896) ES8311: Work in Slave mode
I (899) Es8311AudioCodec: Es8311AudioCodec initialized
I (899) AudioCodec: Set input enable to true
I (915) I2S_IF: channel mode 0 bits:16/16 channel:2 mask:1
W (915) i2s_common: dma frame num is adjusted to 256 to align the dma buffer with 64, bufsize = 512
I (918) I2S_IF: STD Mode 1 bits:16/16 channel:2 sample_rate:16000 mask:1
I (925) I2S_IF: channel mode 0 bits:16/16 channel:2 mask:1
W (930) i2s_common: dma frame num is adjusted to 256 to align the dma buffer with 64, bufsize = 512
I (936) SD_TEST: SD card mounted!
Name: SD16G
Type: SDHC
Speed: 400.00 kHz (limit: 400.00 kHz)
Size: luMB
CSD: ver=2, sector_size=512, capacity=61157376 read_bl_len=9
SSR: bus_width=4
I (955) I2S_IF: STD Mode 0 bits:16/16 channel:2 sample_rate:16000 mask:1
I (959) SD_TEST:   System Volume Information
I (965) SD_TEST:   feast.xi
I (968) SD_TEST:   front1.wav
I (971) SD_TEST:   front2.wav
I (973) SD_TEST:   front3.wav
I (976) SD_TEST:   front4.wav
I (979) SD_TEST:   logincheck.xi
I (982) SD_TEST:   sunrise.wav
I (988) SD_TEST:   Ark
I (988) SD_TEST:   happy003.jpg
I (989) SD_TEST:   happy001.jpg
I (992) SD_TEST:   happy002.jpg
I (995) SD_TEST:   happy120.jpg
I (998) SD_TEST:   happy004.jpg
I (1001) SD_TEST:   happy005.jpg
I (1004) SD_TEST:   happy006.jpg
I (1007) SD_TEST:   happy007.jpg
I (1010) SD_TEST:   happy008.jpg
I (1013) SD_TEST:   happy009.jpg
I (1019) SD_TEST:   happy010.jpg
I (1019) SD_TEST:   happy011.jpg
I (1021) SD_TEST:   happy012.jpg
I (1024) SD_TEST:   happy013.jpg
I (1027) SD_TEST:   happy014.jpg
I (1030) SD_TEST:   happy015.jpg
I (1033) SD_TEST:   happy016.jpg
I (1036) SD_TEST:   happy017.jpg
I (1039) SD_TEST:   happy018.jpg
I (1042) SD_TEST:   happy019.jpg
I (1045) SD_TEST:   happy020.jpg
I (1048) SD_TEST:   happy021.jpg
I (1051) SD_TEST:   happy022.jpg
I (1054) SD_TEST:   happy023.jpg
I (1057) SD_TEST:   happy024.jpg
I (1060) SD_TEST:   happy025.jpg
I (1066) SD_TEST:   happy026.jpg
I (1066) SD_TEST:   happy027.jpg
I (1069) SD_TEST:   happy028.jpg
I (1072) SD_TEST:   happy029.jpg
I (1075) SD_TEST:   happy030.jpg
I (1078) SD_TEST:   happy031.jpg
I (1081) SD_TEST:   happy032.jpg
I (1083) SD_TEST:   happy033.jpg
I (1086) SD_TEST:   happy034.jpg
I (1089) SD_TEST:   happy035.jpg
I (1092) SD_TEST:   happy036.jpg
I (1095) SD_TEST:   happy037.jpg
I (1098) SD_TEST:   happy038.jpg
I (1101) SD_TEST:   happy039.jpg
I (1104) SD_TEST:   happy040.jpg
I (1107) SD_TEST:   happy041.jpg
I (1113) SD_TEST:   happy042.jpg
I (1114) SD_TEST:   happy043.jpg
I (1116) SD_TEST:   happy044.jpg
I (1119) SD_TEST:   happy045.jpg
I (1122) SD_TEST:   happy046.jpg
I (1125) SD_TEST:   happy047.jpg
I (1128) SD_TEST:   happy048.jpg
I (1131) SD_TEST:   happy049.jpg
I (1134) SD_TEST:   happy050.jpg
I (1137) SD_TEST:   happy051.jpg
I (1140) SD_TEST:   happy052.jpg
I (1142) SD_TEST:   happy053.jpg
I (1145) SD_TEST:   happy054.jpg
I (1148) SD_TEST:   happy055.jpg
I (1151) SD_TEST:   happy056.jpg
I (1154) SD_TEST:   happy057.jpg
I (1158) Adev_Codec: Open codec device OK
I (1161) SD_TEST:   happy058.jpg
I (1164) SD_TEST:   happy059.jpg
I (1167) SD_TEST:   happy060.jpg
I (1170) SD_TEST:   happy061.jpg
I (1173) SD_TEST:   happy062.jpg
I (1176) SD_TEST:   happy063.jpg
I (1179) SD_TEST:   happy064.jpg
I (1182) SD_TEST:   happy065.jpg
I (1185) SD_TEST:   happy066.jpg
I (1188) SD_TEST:   happy067.jpg
I (1190) SD_TEST:   happy068.jpg
I (1193) SD_TEST:   happy069.jpg
I (1196) SD_TEST:   happy070.jpg
I (1199) SD_TEST:   happy071.jpg
I (1202) SD_TEST:   happy072.jpg
I (1205) SD_TEST:   happy073.jpg
I (1209) AudioCodec: Set output enable to true
I (1212) SD_TEST:   happy074.jpg
I (1215) SD_TEST:   happy075.jpg
I (1218) SD_TEST:   happy076.jpg
I (1221) SD_TEST:   happy077.jpg
I (1224) SD_TEST:   happy078.jpg
I (1227) SD_TEST:   happy079.jpg
I (1230) SD_TEST:   happy080.jpg
I (1233) SD_TEST:   happy081.jpg
I (1236) SD_TEST:   happy082.jpg
I (1239) SD_TEST:   happy083.jpg
I (1242) SD_TEST:   happy084.jpg
I (1245) SD_TEST:   happy085.jpg
I (1248) SD_TEST:   happy086.jpg
I (1251) SD_TEST:   happy087.jpg
I (1254) SD_TEST:   happy088.jpg
I (1257) SD_TEST:   happy089.jpg
I (1260) AudioCodec: Audio codec started
I (1263) SD_TEST:   happy090.jpg
I (1266) SD_TEST:   happy091.jpg
I (1269) SD_TEST:   happy092.jpg
